epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.177,2.05667,3.8328,2.03664,0.55015,0.38094,0.38342,0.17628,1.97108,2.69249,1.97077,0.000216157,0.000216157,0.000216157
2,50.5445,1.79544,1.58189,1.72222,0.73834,0.37403,0.43303,0.20116,1.99042,1.86365,1.99025,0.00039508,0.00039508,0.00039508
3,72.2218,1.75529,1.39838,1.69195,0.58305,0.44481,0.4486,0.20426,1.99199,1.64328,1.9676,0.000529981,0.000529981,0.000529981
4,94.1329,1.71424,1.29729,1.64473,0.60211,0.45452,0.44304,0.20954,1.96931,1.49216,1.90247,0.000468901,0.000468901,0.000468901
5,116.291,1.67687,1.20471,1.61928,0.89837,0.40033,0.50166,0.23932,1.91222,1.36715,1.84829,0.000402868,0.000402868,0.000402868
6,138.037,1.65224,1.13913,1.60233,0.86129,0.41953,0.52227,0.2522,1.89553,1.37289,1.85792,0.000336835,0.000336835,0.000336835
7,159.816,1.60456,1.08198,1.57482,0.85837,0.44182,0.54638,0.27098,1.81471,1.25609,1.77446,0.000270802,0.000270802,0.000270802
8,181.971,1.57278,1.02299,1.54233,0.92334,0.44484,0.56271,0.27817,1.79544,1.21831,1.75142,0.000204769,0.000204769,0.000204769
9,203.271,1.52763,0.95355,1.49726,0.48978,0.54255,0.54981,0.27935,1.82177,1.21215,1.75782,0.000138736,0.000138736,0.000138736
10,225.802,1.48539,0.9136,1.48289,0.75374,0.5395,0.58226,0.2955,1.74015,1.14751,1.69472,7.2703e-05,7.2703e-05,7.2703e-05
